user,mac,staylength
18681,31033,329
37107,44966,329
7969,30314,328
10026,13107,328
18655,54259,328
25586,57135,328
13837,11583,327
24690,16868,327
28715,46423,327
32051,41702,327
6955,52221,326
13846,18434,326
33120,37207,326
2645,31743,325
3327,29643,325
16238,1992,325
30362,6142,325
34478,28946,325
4292,24667,324
7411,27598,324
16081,35628,324
27709,35337,324
29884,55738,324
3360,49642,323
11259,55405,323
22421,5095,323
31821,41366,323
5588,36884,322
16456,8718,322
17490,8514,322
37405,613,322
2479,33875,321
11247,9188,321
22057,11463,321
24265,10490,321
25039,47927,321
6732,42863,320
19303,38972,320
30771,39324,320
33671,12056,320
22166,41492,319
31087,2030,319
462,3658,318
476,35508,318
2791,52473,318
3181,52172,318
9631,19046,318
21789,20755,318
23057,47592,318
30773,19014,318
33963,50080,318
1931,21488,317
10014,60134,317
18557,41295,317
28146,6754,317
32697,56643,317
37364,31678,317
2088,7891,316
4032,55011,316
14672,35873,316
20255,41215,316
35803,45766,316
3607,28184,315
8409,40844,315
23222,44064,315
780,30445,314
1205,5138,314
6383,35509,314
23960,22480,314
27992,20203,314
16663,36370,313
30113,45719,313
33277,56298,313
14311,62202,312
23325,59153,312
23447,57387,312
7060,43734,311
18288,9028,311
18961,4578,311
22357,34986,311
12382,46528,310
13710,33071,310
21840,14731,310
25207,52033,310
26806,34286,310
32860,59333,310
36388,21438,310
28793,43699,309
33562,35712,309
687,60945,308
17360,51034,308
26754,12663,308
30282,59271,308
2185,23345,307
19983,60242,307
20237,5291,307
21114,17113,307
31481,39436,307
12279,62109,306
8219,51305,305
17452,5801,305
9425,31947,304
10144,8803,304
13747,45542,304
14416,22726,304
15975,40003,304
22025,46443,304
23863,6769,304
27440,22343,304
28715,9338,304
32092,30597,304
2839,10101,303
7160,19624,303
18595,59075,303
28149,50713,303
33394,58195,303
36094,56795,303
3473,35159,302
29765,28342,302
36143,56656,302
12041,61906,301
19196,33792,301
22692,43483,301
23972,33084,301
4723,30072,300
7646,55418,300
30599,49427,300
35566,53062,300
2470,53177,299
5429,21493,299
6048,34964,299
8357,53515,299
16490,10400,299
22149,16827,299
1035,33611,298
8385,9292,298
26065,1292,298
31325,48144,298
32579,26610,298
33748,59493,298
6614,45391,297
8034,33432,297
9955,51415,297
10016,5687,297
10645,31843,297
11068,19172,297
23025,26663,297
27813,30055,297
32119,11194,297
33226,37869,297
34557,27661,297
34800,16396,297
6238,7526,296
10628,4721,296
16418,24764,296
32197,37279,296
18171,56368,295
23675,12488,295
28500,8190,295
37208,4613,295
669,6457,294
9958,34916,294
11661,32558,294
27001,38360,294
27738,18578,294
29188,27618,294
29300,4483,294
3607,26949,293
9365,39293,293
15914,3771,293
36853,41912,293
9920,55246,292
14193,33320,292
22932,15702,292
24265,56982,292
31194,13039,292
7876,4422,291
9772,53175,291
10930,25423,291
13747,46776,291
8,37486,290
9430,12628,290
10144,46450,290
10585,60821,290
10660,48431,290
15525,41170,290
19144,27315,290
26130,9421,290
27709,30199,290
2485,53282,289
5619,44748,289
8001,2175,289
18429,14314,289
20564,51730,289
25039,36300,289
19470,61476,288
32860,37061,288
34844,20551,288
2185,15518,287
7969,6074,287
19196,45475,287
28104,27294,287
31224,44908,287
36954,12449,287
37363,54648,287
4727,55422,286
4952,63346,286
13235,46026,286
24334,42268,286
30120,41111,286
5480,14002,285
5818,44716,285
11293,52851,285
25532,27855,285
28764,27350,285
30777,11163,285
32983,43549,285
37265,12153,285
3996,41807,284
7531,21573,284
7783,12064,284
8671,47620,284
24322,36790,284
27475,4027,284
7783,18862,283
10321,50304,283
16418,23622,283
21033,47568,283
21789,40026,283
24705,42255,283
28924,35296,283
29680,28501,283
35519,28063,283
1761,20664,282
8044,31516,282
16017,22267,282
19521,57968,282
28205,56714,282
8926,40020,281
21391,61209,281
33524,6403,281
35585,54599,281
37208,3066,281
2838,62860,280
3325,61308,280
5667,1661,280
7016,11008,280
16063,39759,280
21612,62626,280
26800,5012,280
31030,27973,280
10792,54164,279
31434,49359,279
8049,37738,278
12819,44493,278
14024,1937,278
32283,59405,278
7418,1629,277
15605,48569,277
20255,29775,277
25221,49859,277
25550,55097,277
28064,37922,277
31550,12069,277
33418,44710,277
3325,21582,276
19788,751,276
21975,3675,276
26754,57948,276
27729,47875,276
30189,54180,276
32153,45820,276
33851,5597,276
34383,21588,276
5828,26514,275
11522,57242,275
16425,14401,275
17101,28319,275
18011,19084,275
19584,42106,275
20593,47799,275
20945,24175,275
31586,60537,275
32051,42181,275
33588,21748,275
2645,18442,274
3141,38695,274
6251,55708,274
17900,29078,274
22104,41344,274
23824,3903,274
24705,43202,274
28459,58816,274
30590,62532,274
31072,27398,274
3886,20059,273
4393,5470,273
16778,26670,273
24351,39849,273
28300,12203,273
10255,11586,272
19337,42260,272
22774,55574,272
21272,4579,271
22286,48692,271
29065,46399,271
34962,31273,271
5983,11524,270
6548,58554,270
10052,41173,270
11617,5410,270
13557,33179,270
17463,4992,270
26662,59553,270
3316,15595,269
7828,58916,269
9753,29967,269
12380,25237,269
15242,1167,269
22257,1870,269
26979,19614,269
36558,26421,269
3842,24305,268
7789,31313,268
25843,56415,268
30568,42537,268
31586,20892,268
9043,62439,267
9743,12509,267
33257,34259,267
7153,29161,266
13167,6372,266
22944,51,266
25925,10893,266
31437,25920,266
36167,24078,266
11358,46615,265
15952,57926,265
19946,10001,265
30416,51776,265
34026,55280,265
36560,10137,265
583,58295,264
8440,13699,264
16459,18220,264
22097,35780,264
28793,59831,264
30592,62116,264
30840,6401,264
30963,14219,264
35840,61022,264
36094,28291,264
36226,59039,264
36751,41441,264
7010,56396,263
13867,5948,263
15388,38779,263
15631,6905,263
20759,14005,263
30771,11184,263
35523,22171,263
2014,48317,262
3665,15075,262
5501,12604,262
6165,4434,262
7876,13397,262
9608,29788,262
21699,40162,262
27168,8263,262
35715,11751,262
9145,15749,261
14902,35204,261
19051,45252,261
21035,48171,261
22374,47567,261
35533,61632,261
36906,23790,261
15839,1962,260
26741,56890,260
2217,50176,259
3758,36282,259
6161,10838,259
