user,mac,staylength
8196,2750,6
8432,51544,6
8760,57520,6
8918,9093,6
9149,51983,6
9271,12950,6
9301,6510,6
9377,4477,6
9672,33788,6
9717,46890,6
9804,19293,6
9871,54842,6
10016,28751,6
10164,62752,6
10176,55795,6
10216,29826,6
10251,54471,6
10398,52211,6
10422,23952,6
10428,56550,6
10628,4721,6
10697,42059,6
10744,26145,6
10792,54164,6
11111,48165,6
11208,1115,6
11247,9188,6
11358,46615,6
11362,28276,6
11432,57977,6
11510,22306,6
11596,16543,6
11625,27050,6
12138,12298,6
12426,11526,6
12475,49862,6
12499,4807,6
12567,12766,6
12694,45224,6
12811,45978,6
13038,6701,6
13233,29314,6
13272,46671,6
13297,8546,6
13307,33727,6
13415,37573,6
13496,447,6
13867,51607,6
13870,57042,6
14048,8145,6
14105,46263,6
14172,24494,6
14211,530,6
14271,25829,6
14271,48562,6
14539,42320,6
14620,7206,6
15026,34008,6
15265,51416,6
15801,5434,6
15949,6631,6
16504,12276,6
16664,30150,6
16723,23108,6
16854,28662,6
16974,7920,6
17257,5500,6
17496,20945,6
17628,30472,6
17848,40761,6
17910,59552,6
17973,61625,6
18288,9028,6
18364,33789,6
19064,46175,6
19204,12349,6
19303,31051,6
19439,35025,6
19881,33449,6
20255,41215,6
20462,48746,6
20662,15247,6
20978,5315,6
21074,5834,6
21089,60835,6
21114,33323,6
21237,45183,6
21272,30003,6
21685,41181,6
21760,43566,6
21856,19567,6
21867,39646,6
21884,14007,6
21886,8671,6
21974,9026,6
22682,21009,6
22849,45223,6
23021,14853,6
23067,26617,6
23144,38853,6
23170,3153,6
23201,28279,6
23232,31221,6
23325,59153,6
23703,41047,6
23765,19579,6
23842,50061,6
23902,50822,6
23991,16468,6
24125,28998,6
24322,40068,6
24476,5818,6
24547,3049,6
24556,31062,6
24562,17169,6
24605,9966,6
24892,46293,6
25438,55770,6
25710,58796,6
25795,35429,6
25843,56415,6
25857,46605,6
25916,62681,6
25956,5073,6
26405,4566,6
26537,11215,6
26844,16514,6
26932,53042,6
27001,38360,6
27257,59281,6
27275,42816,6
27440,35178,6
27895,34327,6
27898,21499,6
28064,37922,6
28087,62627,6
28731,19204,6
28757,59981,6
29120,5833,6
29444,45809,6
29733,26762,6
29821,1046,6
29935,2486,6
30000,15623,6
30052,10216,6
30083,7054,6
30156,42144,6
30447,35293,6
30684,59769,6
30714,13288,6
30843,35400,6
31151,47486,6
31434,49359,6
31665,6221,6
31820,31625,6
31906,15283,6
