user,mac,staylength
12617,10612,5
12645,23015,5
12964,7084,5
13140,21761,5
13152,10325,5
13159,1473,5
13412,50704,5
13828,32767,5
13843,18106,5
13921,40732,5
13931,40288,5
14084,61523,5
14178,28330,5
14274,42897,5
14392,49432,5
14463,20263,5
14532,611,5
14647,32779,5
14647,38706,5
14657,24908,5
14657,54889,5
14804,32093,5
14808,1033,5
14993,11890,5
15197,47093,5
15394,12568,5
15394,46824,5
15499,19983,5
15501,38051,5
15529,55093,5
15569,49765,5
15636,59533,5
15741,58440,5
16006,27510,5
16197,7650,5
16197,15252,5
16456,8718,5
16512,13342,5
16537,37208,5
16714,26845,5
16906,30315,5
17075,12410,5
17270,12897,5
17273,8949,5
17390,32533,5
17551,60164,5
17563,47184,5
17910,59552,5
18078,14013,5
18204,21953,5
19075,758,5
19075,63111,5
19187,734,5
19453,21480,5
19526,39702,5
19693,63055,5
19758,24024,5
19984,52575,5
20097,13571,5
20462,48746,5
20464,11354,5
20521,60574,5
20538,54731,5
20603,33569,5
20703,3920,5
20830,53424,5
20917,13306,5
21142,38184,5
21159,23748,5
21196,10338,5
21243,36181,5
21311,42442,5
21312,35846,5
21312,50728,5
21323,57102,5
21885,14898,5
22088,50670,5
22128,45930,5
22244,24365,5
22324,9637,5
22324,24810,5
22336,16386,5
22381,53660,5
22567,40703,5
22576,42507,5
22966,44713,5
23111,51908,5
23174,38903,5
23209,41076,5
23226,25720,5
23300,22003,5
23300,46006,5
23314,37724,5
23341,13240,5
23455,29316,5
23563,6940,5
23768,32159,5
23813,212,5
24077,35567,5
24077,58043,5
24455,58572,5
24609,49822,5
24714,35941,5
24776,10145,5
24821,38297,5
25233,8520,5
25233,25356,5
25413,12958,5
25518,18788,5
25736,23836,5
25873,23669,5
25932,53078,5
26024,21777,5
26039,38813,5
26045,19135,5
26065,1292,5
26291,55179,5
26471,8983,5
26516,4492,5
26710,5424,5
27007,55982,5
27098,26191,5
27098,51831,5
27304,48026,5
27704,14927,5
27729,47875,5
27774,21107,5
27806,51417,5
27864,29397,5
27895,34327,5
27981,251,5
28357,48368,5
28376,16075,5
28444,2568,5
28524,3706,5
28538,30397,5
28655,24629,5
28731,9495,5
28825,59146,5
28914,42547,5
29038,1818,5
29356,28025,5
29428,56426,5
29459,53022,5
29624,62559,5
29801,42608,5
29963,3594,5
29963,16589,5
30070,25181,5
30158,26220,5
30255,60892,5
30284,48478,5
30311,46398,5
30391,60437,5
30416,51776,5
30469,13339,5
30599,49427,5
30618,22828,5
30774,52103,5
30777,44753,5
30973,9643,5
31040,63174,5
31090,58324,5
31324,30691,5
31324,44588,5
31349,33816,5
31941,25213,5
32111,12344,5
32135,50743,5
32154,8473,5
32158,61899,5
32197,37279,5
32297,49296,5
32368,12693,5
32421,23407,5
32751,38161,5
32781,51708,5
32883,13426,5
32899,34649,5
32899,42506,5
33114,24817,5
33236,13124,5
33691,36981,5
33694,58856,5
33935,7178,5
34054,33399,5
34110,54745,5
34179,18360,5
34226,2407,5
34291,22036,5
34291,38220,5
34531,806,5
34531,23319,5
34962,31273,5
35029,31517,5
35496,51150,5
35518,37032,5
35613,52909,5
35893,57222,5
35898,60646,5
36143,32994,5
36143,56656,5
36178,55743,5
36200,45601,5
36350,46505,5
36583,23481,5
36715,23857,5
37186,45510,5
37208,3066,5
37350,10787,5
37350,16515,5
44,24335,4
138,48847,4
202,36045,4
336,31092,4
496,2685,4
603,56328,4
687,5888,4
718,5602,4
880,59625,4
989,54374,4
1100,51143,4
1252,25502,4
1296,39960,4
1486,6147,4
1581,16656,4
1657,9048,4
1733,55495,4
1735,46066,4
1744,5845,4
2150,38860,4
2170,13670,4
2170,61860,4
2217,5684,4
2475,54606,4
2489,12724,4
2722,9356,4
2722,16759,4
2904,50359,4
3002,42137,4
3129,9024,4
3141,26962,4
3165,16799,4
3181,45611,4
3262,39631,4
3262,54874,4
3366,15358,4
3424,21268,4
3433,8782,4
3446,50658,4
3459,6265,4
3465,62634,4
3688,54753,4
3784,8242,4
3787,17726,4
3886,13457,4
3886,50466,4
3900,59425,4
3931,60066,4
4097,56914,4
4169,2246,4
4171,47395,4
4256,13351,4
4347,38716,4
4347,44278,4
4488,6248,4
4488,7165,4
4546,33928,4
4607,63318,4
4615,43751,4
4789,20527,4
4943,47327,4
5012,39336,4
5021,2575,4
5146,18765,4
5186,62314,4
5277,56981,4
5283,13508,4
5496,58294,4
5611,37041,4
5675,11926,4
5694,61560,4
5726,46902,4
5944,5613,4
5983,9272,4
6093,23027,4
6177,45985,4
6203,42151,4
6238,402,4
6256,50798,4
6260,10527,4
6312,44961,4
6339,3108,4
6371,47371,4
6387,58893,4
6396,20833,4
6528,7565,4
6622,7810,4
6710,38845,4
6761,17722,4
6761,19098,4
7328,56962,4
7630,47350,4
8103,62550,4
8105,60610,4
8109,11338,4
8110,58519,4
8170,48593,4
8188,40413,4
8271,2853,4
8303,20536,4
8331,28612,4
8388,26603,4
8690,23101,4
8690,33607,4
8698,29082,4
8698,30423,4
8734,46201,4
8795,3723,4
9242,57867,4
9249,3309,4
9292,21064,4
9370,44432,4
9394,48701,4
9642,38349,4
9657,22041,4
9677,18095,4
9753,19229,4
9753,29967,4
9897,8216,4
9979,10182,4
9979,45641,4
10164,62752,4
10276,13805,4
10490,44829,4
10491,419,4
10628,4721,4
10856,13754,4
10973,48531,4
11083,22844,4
11098,29759,4
11160,27653,4
11404,16041,4
11432,57977,4
11438,28914,4
11466,14846,4
11666,28700,4
11686,4324,4
11722,35184,4
11806,30533,4
11899,33274,4
11967,5591,4
11967,40549,4
12189,3304,4
12245,24918,4
12245,35610,4
12319,43447,4
12491,6346,4
12837,17060,4
12874,54046,4
12879,9873,4
13074,43510,4
13124,28343,4
13235,38770,4
13722,48814,4
13791,22136,4
13836,54269,4
13843,41260,4
13906,26472,4
13906,62856,4
14090,33757,4
14203,32641,4
14238,22176,4
14607,16684,4
14910,40574,4
14930,19574,4
15012,56526,4
15058,21265,4
15100,20024,4
15172,57422,4
15212,23877,4
15453,20606,4
15537,25754,4
15658,49799,4
15704,5743,4
15865,37204,4
15874,2942,4
15922,22182,4
15934,4206,4
15934,52526,4
16028,26167,4
16172,37693,4
16292,1020,4
16393,808,4
16416,24705,4
16422,30639,4
16422,35278,4
16564,45177,4
16564,57424,4
16598,40702,4
16617,33929,4
16652,28782,4
16668,48457,4
16675,49576,4
16705,16008,4
16750,2376,4
16750,50160,4
16790,45816,4
16856,28072,4
16997,13079,4
17092,12230,4
17141,42851,4
17224,11728,4
17255,22633,4
17414,1467,4
17519,33885,4
17520,56575,4
17560,8618,4
17583,33775,4
17602,1681,4
17608,40252,4
17674,10142,4
17757,9888,4
18013,53263,4
18288,9028,4
18297,54605,4
18310,8015,4
18333,19839,4
18463,6577,4
18470,15679,4
18476,7664,4
18627,39783,4
18681,31033,4
